exportcountry,exportccode,importcountry,importccode,tiv_value,year,decade,fh_score,fh_scoreround,fh_rating,fh_rating_abc,top_exporter,top_importer
Russia,RUS,China,CHN,2,2009,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,2,2010,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,2,2011,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,2,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,2.5,2003,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,2.5,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,2.5,2011,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,2.5,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,4,2011,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,4.75,1993,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,5,1999,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,5,2000,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,5,2001,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,5,2002,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,5,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,5,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,5,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,5,2011,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,6,2009,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,6,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,6.75,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,7.5,2010,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,9,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,9,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,10,2001,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,10,2002,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,10,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,10,2011,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,10,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,11,2001,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,12.5,1993,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,13,2001,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,15,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,15,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,15,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,15,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,15,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,15,2009,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,15,2010,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,16.25,2002,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,16.5,1995,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,16.5,1996,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,16.5,1997,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,16.5,1998,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,16.5,1999,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,18,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,18,2011,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,20,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,20,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,20,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,20,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,21.75,1999,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,25,1994,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,25,1995,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,25,1996,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,25,1997,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,25,1999,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,25,2000,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,25,2001,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,25.5,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,27,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,27,2010,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,27.5,2002,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,30,2009,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,30,2010,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,32.5,2003,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,32.5,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,33.75,1999,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,34,1997,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,35,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,35,2009,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,35,2010,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,35,2011,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,35,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,36,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,36,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,36,2011,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,36,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,37.5,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,37.5,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,40,2001,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,40,2002,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,40,2003,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,40,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,40,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,42,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,42,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,42,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,42,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,42,2009,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,45,1992,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,45,1996,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,45,1997,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,45,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,48.75,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,50,1993,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,51,2010,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,52.5,1998,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,52.5,1999,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,52.5,2000,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,52.5,2001,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,52.5,2002,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,52.5,2003,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,54,2010,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,55,1994,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,55,1997,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,55,2003,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,55,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,55,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,55,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,60,2002,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,60,2003,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,60,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,60,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,60,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,60,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,60,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,60,2011,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,60.75,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,65,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,65,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,65,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,65,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,67.5,2000,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,67.5,2009,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,67.5,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,69,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,72,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,72,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,75,2000,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,81,2003,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,81,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,81,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,81,2010,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,81,2011,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,82.5,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,82.5,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,82.5,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,82.5,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,82.5,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,82.5,2009,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,82.5,2010,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,82.5,2011,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,82.5,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,85,1992,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,85,1997,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,85,1998,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,85,1999,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,85,2002,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,87.75,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,93.75,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,93.75,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,97.5,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,97.5,2009,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,102,2009,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,104,2012,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,105,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,105,2010,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,110,1993,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,110,2003,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,110,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,114.75,2002,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,121.5,2003,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,140,1999,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,146.25,2010,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,146.25,2011,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,170,1999,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,175,2000,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,187.5,1999,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,187.5,2002,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,202.5,1996,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,202.5,1997,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,210,2011,2010s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,222,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,223.5,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,250,2000,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,255,2000,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,260,1997,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,260,1999,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,260,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,260,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,260,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,260,2009,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,340,2000,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,382.5,2001,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,425,2001,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,425,2002,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,440,1995,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,467.5,2007,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,500,1999,1990s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,500,2001,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,500,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,500,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,510,2002,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,510,2003,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,520,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,550,2000,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,562.5,2008,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,562.5,2009,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,637.5,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,722.5,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,722.5,2006,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,850,1993,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,935,1996,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,1020,1992,1990s,7,7,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,1045,2002,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,1045,2003,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,1300,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,1320,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,China,CHN,1540,2001,2000s,6.5,6.5,NF,c) Not Free,Russia,China
Russia,RUS,Colombia,COL,0.35,2006,2000s,3,3,PF,b) Partly Free,Russia,Colombia
Russia,RUS,Colombia,COL,2.45,2007,2000s,3,3,PF,b) Partly Free,Russia,Colombia
Russia,RUS,Colombia,COL,27,2007,2000s,3,3,PF,b) Partly Free,Russia,Colombia
Russia,RUS,Colombia,COL,33.75,2009,2000s,3.5,3.5,PF,b) Partly Free,Russia,Colombia
Russia,RUS,Colombia,COL,40.5,2002,2000s,4,4,PF,b) Partly Free,Russia,Colombia
Russia,RUS,Colombia,COL,67.5,1997,1990s,4,4,PF,b) Partly Free,Russia,Colombia
Russia,RUS,Croatia,HRV,13.5,2007,2000s,2,2,F,a) Free,Russia,Other importer
Russia,RUS,Croatia,HRV,27,1992,1990s,4,4,PF,b) Partly Free,Russia,Other importer
Russia,RUS,Croatia,HRV,27,1993,1990s,4,4,PF,b) Partly Free,Russia,Other importer
Russia,RUS,Croatia,HRV,54,2008,2000s,2,2,F,a) Free,Russia,Other importer
Russia,RUS,Cyprus,CYP,0.72,2001,2000s,1,1,F,a) Free,Russia,Cyprus
Russia,RUS,Cyprus,CYP,7,1995,1990s,1,1,F,a) Free,Russia,Cyprus
Russia,RUS,Cyprus,CYP,7,1996,1990s,1,1,F,a) Free,Russia,Cyprus
Russia,RUS,Cyprus,CYP,20.25,2006,2000s,1,1,F,a) Free,Russia,Cyprus
Russia,RUS,Cyprus,CYP,22.4,2011,2010s,1,1,F,a) Free,Russia,Cyprus
Russia,RUS,Cyprus,CYP,25.74,1995,1990s,1,1,F,a) Free,Russia,Cyprus
Russia,RUS,Cyprus,CYP,35.75,1996,1990s,1,1,F,a) Free,Russia,Cyprus
Russia,RUS,Cyprus,CYP,43.2,2010,2010s,1,1,F,a) Free,Russia,Cyprus
Russia,RUS,Cyprus,CYP,52.5,1999,1990s,1,1,F,a) Free,Russia,Cyprus
Russia,RUS,Cyprus,CYP,56,1997,1990s,1,1,F,a) Free,Russia,Cyprus
Russia,RUS,Cyprus,CYP,75,1999,1990s,1,1,F,a) Free,Russia,Cyprus
Russia,RUS,Cyprus,CYP,108,1996,1990s,1,1,F,a) Free,Russia,Cyprus
Russia,RUS,Cyprus,CYP,114.36,2001,2000s,1,1,F,a) Free,Russia,Cyprus
Russia,RUS,Czech Republic,CZE,28.5,2006,2000s,1,1,F,a) Free,Russia,Czech Republic
Russia,RUS,Czech Republic,CZE,66.5,2003,2000s,1.5,1.5,F,a) Free,Russia,Czech Republic
Russia,RUS,Czech Republic,CZE,66.5,2005,2000s,1,1,F,a) Free,Russia,Czech Republic
Russia,RUS,Czech Republic,CZE,108,2005,2000s,1,1,F,a) Free,Russia,Czech Republic
Russia,RUS,Djibouti,DJI,2.8,2002,2000s,4.5,4.5,PF,b) Partly Free,Russia,Other importer
Russia,RUS,Djibouti,DJI,5.4,1993,1990s,6,6,NF,c) Not Free,Russia,Other importer
Russia,RUS,Djibouti,DJI,14.4,1992,1990s,6,6,NF,c) Not Free,Russia,Other importer
Russia,RUS,Ecuador,ECU,2,2008,2000s,3,3,PF,b) Partly Free,Russia,Ecuador
Russia,RUS,Ecuador,ECU,2,2009,2000s,3,3,PF,b) Partly Free,Russia,Ecuador
Russia,RUS,Ecuador,ECU,13.5,2011,2010s,3,3,PF,b) Partly Free,Russia,Ecuador
Russia,RUS,Ecuador,ECU,15.54,1998,1990s,2.5,2.5,F,a) Free,Russia,Ecuador
Russia,RUS,Ecuador,ECU,47.25,1997,1990s,3,3,PF,b) Partly Free,Russia,Ecuador
Russia,RUS,Egypt,EGY,2.9,1992,1990s,5.5,5.5,PF,b) Partly Free,Russia,Egypt
Russia,RUS,Egypt,EGY,2.9,1993,1990s,6,6,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,2.9,1994,1990s,6,6,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,2.9,1995,1990s,6,6,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,4.5,1994,1990s,6,6,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,4.95,1996,1990s,6,6,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,4.95,1997,1990s,6,6,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,5.5,1993,1990s,6,6,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,7.84,2009,2000s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,8.25,1994,1990s,6,6,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,8.25,1995,1990s,6,6,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,20.25,2011,2010s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,20.25,2012,2010s,5,5,PF,b) Partly Free,Russia,Egypt
Russia,RUS,Egypt,EGY,27,2010,2010s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,35,2005,2000s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,35,2007,2000s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,35,2011,2010s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,40.16,2010,2010s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,47.25,1999,1990s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,50,2005,2000s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,50,2007,2000s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,50,2011,2010s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,60,2002,2000s,6,6,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,60,2003,2000s,6,6,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,60,2004,2000s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,60,2005,2000s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,60,2006,2000s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,135,1997,1990s,6,6,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,300,2010,2010s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Egypt,EGY,300,2011,2010s,5.5,5.5,NF,c) Not Free,Russia,Egypt
Russia,RUS,Eritrea,ERI,3.2,2005,2000s,6.5,6.5,NF,c) Not Free,Russia,Eritrea
Russia,RUS,Eritrea,ERI,4,1995,1990s,5,5,PF,b) Partly Free,Russia,Eritrea
Russia,RUS,Eritrea,ERI,4.75,1998,1990s,5,5,PF,b) Partly Free,Russia,Eritrea
Russia,RUS,Eritrea,ERI,11.25,1998,1990s,5,5,PF,b) Partly Free,Russia,Eritrea
Russia,RUS,Eritrea,ERI,15.248,1996,1990s,5,5,PF,b) Partly Free,Russia,Eritrea
Russia,RUS,Eritrea,ERI,16,1999,1990s,6,6,NF,c) Not Free,Russia,Eritrea
Russia,RUS,Eritrea,ERI,27,1996,1990s,5,5,PF,b) Partly Free,Russia,Eritrea
Russia,RUS,Eritrea,ERI,27,1998,1990s,5,5,PF,b) Partly Free,Russia,Eritrea
Russia,RUS,Eritrea,ERI,57,2001,2000s,6.5,6.5,NF,c) Not Free,Russia,Eritrea
Russia,RUS,Eritrea,ERI,70,2004,2000s,6.5,6.5,NF,c) Not Free,Russia,Eritrea
Russia,RUS,Eritrea,ERI,171,1998,1990s,5,5,PF,b) Partly Free,Russia,Eritrea
Russia,RUS,Ethiopia,ETH,1.68,1998,1990s,4,4,PF,b) Partly Free,Russia,Ethiopia
